pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_OXIDATIVE_PHOSPHORYLATION,0.326829268,0.581226104,0.116234149,-0.258849283,-1.064812534,109,
KEGG_O_GLYCAN_BIOSYNTHESIS,0.393478261,0.659360006,0.097215081,-0.323901007,-1.032789717,29,
KEGG_P53_SIGNALING_PATHWAY,0.002319549,0.013708953,0.431707696,0.479289564,1.733819338,64,
KEGG_PANCREATIC_CANCER,0.010473758,0.046047213,0.380730401,0.446536286,1.644580314,69,
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.004371735,0.023578703,0.407017919,0.684161843,1.779232771,16,
KEGG_PARKINSONS_DISEASE,1,1,0.05479395,-0.145464257,-0.598387456,109,
KEGG_O_GLYCAN_BIOSYNTHESIS,0.393478261,0.659360006,0.097215081,-0.323901007,-1.032789717,29,
KEGG_P53_SIGNALING_PATHWAY,0.002319549,0.013708953,0.431707696,0.479289564,1.733819338,64,
KEGG_PANCREATIC_CANCER,0.010473758,0.046047213,0.380730401,0.446536286,1.644580314,69,
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.004371735,0.023578703,0.407017919,0.684161843,1.779232771,16,
KEGG_PARKINSONS_DISEASE,1,1,0.05479395,-0.145464257,-0.598387456,109,
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.070546737,0.18617548,0.224966094,0.38615454,1.358239838,55,
KEGG_PATHWAYS_IN_CANCER,1.96E-08,8.58E-07,0.733761988,0.415156362,1.861146133,311,
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.480300188,0.755468184,0.077884011,0.334040406,0.981437205,24,
KEGG_PEROXISOME,1,1,0.052269332,-0.117666079,-0.453736596,75,
KEGG_PHENYLALANINE_METABOLISM,0.39731286,0.662411812,0.089436683,0.403766402,1.050035779,16,
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.808027923,1,0.049192752,0.221243669,0.822014715,74,
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.750479846,0.988863334,0.057005953,0.280963024,0.789271268,21,
KEGG_PPAR_SIGNALING_PATHWAY,0.232269504,0.45095262,0.117765788,0.322435258,1.152957049,60,
KEGG_PRIMARY_IMMUNODEFICIENCY,1.30E-05,2.14E-04,0.593325476,0.691414601,2.139183167,31,
KEGG_PRION_DISEASES,8.93E-04,0.006225756,0.477270815,0.607554173,1.879725505,31,
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.427561837,0.695228227,0.080858915,0.266581936,1.003697385,82,
KEGG_PROPANOATE_METABOLISM,0.368620038,0.630551087,0.092848121,0.343405592,1.062470278,31,
KEGG_PROSTATE_CANCER,8.91E-04,0.006225756,0.477270815,0.448857293,1.70441004,87,
KEGG_PROTEASOME,0.838709677,1,0.048701086,0.23332379,0.777643292,41,
KEGG_PROTEIN_EXPORT,0.946808511,1,0.051011413,-0.218975753,-0.657889367,23,
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.416184971,0.682916985,0.087051587,0.365968802,1.043055993,22,
KEGG_PURINE_METABOLISM,1,1,0.037536291,0.13728169,0.562575895,148,
KEGG_PYRIMIDINE_METABOLISM,1,1,0.038955648,0.125601507,0.482204391,97,
KEGG_PYRUVATE_METABOLISM,0.995575221,1,0.050498304,-0.152964702,-0.531472449,39,
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,3.16E-04,0.002712401,0.498493109,0.380044405,1.609814573,201,
KEGG_REGULATION_OF_AUTOPHAGY,0.98089172,1,0.049291766,-0.183087286,-0.559436118,25,
KEGG_RENAL_CELL_CARCINOMA,0.056537102,0.160120861,0.252961123,0.386554956,1.408439518,66,
KEGG_RETINOL_METABOLISM,0.244122966,0.468512157,0.115734448,0.35746961,1.159850049,36,
KEGG_RIBOSOME,7.33E-06,1.32E-04,0.610526878,0.528979642,2.008652253,87,
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.362190813,0.62224949,0.089986079,0.296126675,1.051786231,58,
KEGG_RNA_DEGRADATION,0.31826087,0.568549282,0.096562955,0.306550803,1.076850689,53,
KEGG_RNA_POLYMERASE,0.180434783,0.374136829,0.152144922,-0.384303487,-1.20848506,28,
KEGG_SELENOAMINO_ACID_METABOLISM,0.04887218,0.144205806,0.28201335,0.514709805,1.493196183,23,
KEGG_SMALL_CELL_LUNG_CANCER,3.32E-04,0.002816695,0.498493109,0.481696522,1.8206512,84,
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.591651543,0.863846261,0.06568136,0.280907591,0.915726887,37,
KEGG_SPHINGOLIPID_METABOLISM,0.872881356,1,0.054568065,-0.225563842,-0.761078035,34,
KEGG_SPLICEOSOME,0.25862069,0.489001189,0.108820127,0.276182614,1.104856952,123,
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.046125461,0.140079478,0.287857117,0.479268186,1.472488305,29,
KEGG_STEROID_BIOSYNTHESIS,0.87628866,1,0.053129805,-0.252624938,-0.704729739,17,
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.054283687,0.155073803,0.321775918,0.484730297,1.499717955,31,
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,7.17E-13,1.09E-10,0.921426003,0.777205243,2.701875799,49,
KEGG_TASTE_TRANSDUCTION,0.841870824,1,0.058593757,-0.232417576,-0.786289877,36,
KEGG_TGF_BETA_SIGNALING_PATHWAY,1.68E-06,3.61E-05,0.643551836,0.555263023,2.09059943,82,
KEGG_THYROID_CANCER,0.612546125,0.88148204,0.064794337,0.291243852,0.894808332,29,
KEGG_TIGHT_JUNCTION,0.734729494,0.982173009,0.053566938,0.219141873,0.87064953,120,
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,6.88E-08,2.41E-06,0.704975715,0.566501794,2.160446651,92,
KEGG_TRYPTOPHAN_METABOLISM,0.077358491,0.199615242,0.222056046,0.442540403,1.398849988,34,
KEGG_TYPE_II_DIABETES_MELLITUS,0.089445438,0.22043108,0.199915231,0.401799509,1.360487178,44,
KEGG_TYPE_I_DIABETES_MELLITUS,5.90E-06,1.11E-04,0.610526878,0.657076619,2.141995256,37,
KEGG_TYROSINE_METABOLISM,0.168518519,0.356544004,0.144630528,0.387762361,1.245352053,35,
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.006958491,0.033259226,0.407017919,0.403422332,1.56018354,102,
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.989708405,1,0.039115525,0.166731543,0.672341521,129,
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.341155235,0.59530279,0.094664622,0.315040049,1.052801219,42,
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.657342657,0.918976208,0.072893856,-0.22009476,-0.909506544,107,
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.919642857,1,0.054568065,-0.203526899,-0.71875446,42,
KEGG_VEGF_SIGNALING_PATHWAY,0.112820513,0.262937063,0.172324345,0.345736408,1.286546968,73,
KEGG_VIBRIO_CHOLERAE_INFECTION,0.956140351,1,0.041739703,0.19406494,0.674647232,49,
KEGG_VIRAL_MYOCARDITIS,4.12E-05,5.46E-04,0.557332239,0.555330723,2.023385608,66,
KEGG_WNT_SIGNALING_PATHWAY,0.115059222,0.267166325,0.169570644,0.293848502,1.199201836,147,
NABA_BASEMENT_MEMBRANES,0.041003537,0.127346783,0.321775918,0.466359068,1.553400742,40,
NABA_COLLAGENS,0.017262456,0.067078913,0.352487858,0.46641153,1.579262524,44,
NABA_CORE_MATRISOME,4.40E-08,1.67E-06,0.719512826,0.438689581,1.908807493,247,
NABA_ECM_AFFILIATED,0.00111151,0.007437696,0.455059867,0.401727464,1.64511843,141,
NABA_ECM_GLYCOPROTEINS,2.87E-04,0.002530236,0.498493109,0.392687253,1.643205311,172,
NABA_ECM_REGULATORS,5.22E-07,1.34E-05,0.659444398,0.457780682,1.925485505,183,
NABA_PROTEOGLYCANS,3.02E-04,0.002607253,0.498493109,0.630326575,1.95018155,31,
NABA_SECRETED_FACTORS,5.78E-13,9.52E-11,0.921426003,0.495439449,2.171178722,263,
PID_A6B1_A6B4_INTEGRIN_PATHWAY,0.063268893,0.172165013,0.237793834,0.414449187,1.420304843,46,
PID_AJDISS_2PATHWAY,0.033675558,0.110316415,0.321775918,0.430608463,1.479930017,47,
PID_ALK1_PATHWAY,0.0050566,0.026248194,0.407017919,0.597433977,1.773427717,25,
PID_ALPHA_SYNUCLEIN_PATHWAY,0.061121416,0.169219741,0.321775918,0.480832097,1.487657226,31,
PID_AMB2_NEUTROPHILS_PATHWAY,6.38E-05,7.64E-04,0.538434096,0.634406248,2.087847833,39,
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,4.00E-05,5.37E-04,0.557332239,0.598451299,2.080455706,49,
PID_ANTHRAX_PATHWAY,0.002263237,0.013456716,0.431707696,0.705222164,1.870502652,17,
PID_AP1_PATHWAY,1.71E-06,3.64E-05,0.643551836,0.593752086,2.136406974,63,
PID_ARF6_DOWNSTREAM_PATHWAY,0.964583333,1,0.049192752,-0.206291284,-0.551534255,15,
PID_ARF6_PATHWAY,0.00682406,0.032695859,0.407017919,0.52260445,1.678415934,35,
PID_ARF6_TRAFFICKING_PATHWAY,0.038978694,0.122624566,0.321775918,0.42457863,1.459206481,47,
PID_ARF_3PATHWAY,0.91221374,1,0.04773424,0.246565502,0.673635098,19,
PID_AR_NONGENOMIC_PATHWAY,0.448015123,0.717260221,0.08197788,0.325426067,1.00684302,31,
PID_AR_PATHWAY,0.007167491,0.033767607,0.407017919,0.463915695,1.647741259,58,
PID_AR_TF_PATHWAY,0.540229885,0.813357821,0.082434409,-0.262828536,-0.940812197,47,
PID_ATF2_PATHWAY,0.032329838,0.107620741,0.321775918,0.414136156,1.46041442,54,
PID_ATM_PATHWAY,0.530612245,0.803560173,0.072179797,0.305761109,0.948889661,30,
PID_ATR_PATHWAY,0.810564663,1,0.051011413,0.238568957,0.783346279,38,
PID_AURORA_A_PATHWAY,0.337662338,0.592613836,0.09688777,0.35178837,1.091729256,30,
PID_AURORA_B_PATHWAY,0.607985481,0.878948761,0.064358337,0.278164012,0.906783132,37,
PID_AVB3_INTEGRIN_PATHWAY,7.44E-05,8.74E-04,0.538434096,0.521801195,1.933342196,72,
PID_AVB3_OPN_PATHWAY,3.94E-05,5.36E-04,0.557332239,0.670436939,2.074279909,31,
PID_BARD1_PATHWAY,0.112546125,0.262607626,0.179782316,0.428195238,1.30395536,28,
PID_BCR_5PATHWAY,1.74E-05,2.74E-04,0.575610261,0.559950515,2.014783969,63,
PID_BETA_CATENIN_DEG_PATHWAY,0.925143954,1,0.047353425,0.246379921,0.640736156,16,
PID_BETA_CATENIN_NUC_PATHWAY,0.0795053,0.203558318,0.211400189,0.361251438,1.328517863,70,
PID_BMP_PATHWAY,0.04661267,0.140614315,0.321775918,0.448376256,1.494390208,41,
PID_CASPASE_PATHWAY,0.004408962,0.02371469,0.407017919,0.491722827,1.710676272,50,
PID_CD40_PATHWAY,0.011330219,0.048833741,0.380730401,0.534030577,1.64073853,29,
PID_CD8_TCR_DOWNSTREAM_PATHWAY,0.333916084,0.588527098,0.094050347,0.301426219,1.062952824,54,
PID_CD8_TCR_PATHWAY,0.020424671,0.07621607,0.352487858,0.434929699,1.527819666,53,
PID_CDC42_PATHWAY,0.921568627,1,0.044152306,0.205919664,0.754666917,68,
PID_CDC42_REG_PATHWAY,0.814471243,1,0.051635596,0.247592011,0.768369465,30,
PID_CERAMIDE_PATHWAY,0.034157498,0.111633943,0.321775918,0.442917116,1.499710785,44,
PID_CIRCADIAN_PATHWAY,0.582375479,0.852825813,0.069119846,0.355458936,0.909571575,15,
PID_CMYB_PATHWAY,7.21E-04,0.005234688,0.477270815,0.469150241,1.766379511,82,
PID_CONE_PATHWAY,0.863354037,1,0.054008827,-0.243655266,-0.730028058,22,
PID_CXCR3_PATHWAY,0.281362007,0.522610263,0.105920293,0.334750669,1.115688252,41,
PID_CXCR4_PATHWAY,1.61E-08,7.39E-07,0.733761988,0.576183825,2.205508968,98,
PID_DELTA_NP63_PATHWAY,0.024889684,0.08884672,0.352487858,0.470273394,1.581479787,43,
PID_DNA_PK_PATHWAY,0.902298851,1,0.048408762,0.258816106,0.662275581,15,
PID_E2F_PATHWAY,0.019542162,0.073759519,0.352487858,0.398818142,1.477673775,72,
PID_ECADHERIN_KERATINOCYTE_PATHWAY,0.062146893,0.16991408,0.248911114,0.522526646,1.460753143,20,
PID_ECADHERIN_NASCENT_AJ_PATHWAY,0.723132969,0.977046188,0.056294075,0.254944158,0.837114601,38,
PID_ECADHERIN_STABILIZATION_PATHWAY,0.067395264,0.180268633,0.234392647,0.432343742,1.419609934,38,
PID_ENDOTHELIN_PATHWAY,0.522045855,0.796068796,0.070450085,0.264468455,0.94997182,61,
PID_EPHA2_FWD_PATHWAY,0.555343511,0.829862295,0.071305299,0.342464289,0.935637642,19,
PID_EPHA_FWDPATHWAY,0.017077912,0.066624108,0.352487858,0.504077775,1.593366807,34,
PID_EPHB_FWD_PATHWAY,0.980392157,1,0.041320951,0.182201973,0.60689863,40,
PID_EPHRINB_REV_PATHWAY,0.006114293,0.030231074,0.407017919,0.591504229,1.780719847,27,
PID_EPO_PATHWAY,0.010867114,0.047356711,0.380730401,0.532621995,1.663732241,33,
PID_ERA_GENOMIC_PATHWAY,0.038652892,0.122276938,0.321775918,0.417304612,1.492188842,60,
PID_ERBB1_DOWNSTREAM_PATHWAY,0.336177474,0.590929951,0.092259726,0.27011977,1.050092446,105,
PID_ERBB1_INTERNALIZATION_PATHWAY,0.987455197,1,0.041237609,0.185156026,0.617105275,41,
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,0.164814815,0.351723724,0.146416238,0.3911996,1.256391219,35,
PID_ERBB2_ERBB3_PATHWAY,0.896243292,1,0.04558782,0.214213627,0.725324164,44,
PID_ERBB4_PATHWAY,0.076225045,0.197984526,0.219250347,0.429925596,1.401508683,37,
PID_ER_NONGENOMIC_PATHWAY,0.039395578,0.123243853,0.321775918,0.467111765,1.555907907,40,
PID_FAK_PATHWAY,0.080645161,0.205122413,0.211400189,0.374348647,1.327649648,59,
PID_FANCONI_PATHWAY,0.550179211,0.823391784,0.068632563,0.281282279,0.937483816,41,
PID_FAS_PATHWAY,0.034231975,0.111692428,0.321775918,0.477744033,1.568682761,38,
PID_FCER1_PATHWAY,8.65E-05,9.81E-04,0.538434096,0.563603068,1.999679752,57,
PID_FGF_PATHWAY,4.36E-04,0.003389572,0.498493109,0.535378928,1.870654351,51,
PID_FOXM1_PATHWAY,0.016728906,0.065521548,0.352487858,0.491112405,1.616263985,39,
PID_FOXO_PATHWAY,0.024015892,0.086667955,0.352487858,0.445149315,1.537738945,48,
PID_FRA_PATHWAY,9.89E-09,4.88E-07,0.747739663,0.764421997,2.416302994,34,
PID_GLYPICAN_1PATHWAY,0.001202225,0.007963731,0.455059867,0.637373879,1.918810144,27,
PID_GMCSF_PATHWAY,0.012571737,0.052355716,0.380730401,0.527381124,1.64736152,33,
PID_HDAC_CLASSIII_PATHWAY,0.08630394,0.214834776,0.208955028,0.476457076,1.399868677,24,
PID_HDAC_CLASSII_PATHWAY,0.527196653,0.80052784,0.078711381,-0.281635691,-0.941841995,33,
PID_HDAC_CLASSI_PATHWAY,0.383802817,0.64809817,0.086539974,0.28304665,1.02391496,64,
PID_HEDGEHOG_2PATHWAY,0.005935578,0.02973815,0.407017919,0.609845463,1.71315604,21,
PID_HEDGEHOG_GLI_PATHWAY,0.080843585,0.205122413,0.208955028,0.399071579,1.367606245,46,
PID_HES_HEY_PATHWAY,0.004474279,0.024000615,0.407017919,0.500734398,1.720941251,47,
PID_HIF1A_PATHWAY,0.067178503,0.179932652,0.241339977,0.557025656,1.448602127,16,
PID_HIF1_TFPATHWAY,0.001538743,0.009830029,0.455059867,0.489127322,1.777821842,65,
PID_HIF2PATHWAY,0.004926387,0.02572669,0.407017919,0.547181079,1.708878097,32,
PID_HIV_NEF_PATHWAY,2.54E-04,0.002302457,0.498493109,0.609121547,1.956277469,35,
PID_HNF3A_PATHWAY,0.085185185,0.212855134,0.208955028,0.42719834,1.372006114,35,
PID_HNF3B_PATHWAY,0.071301248,0.187414997,0.224966094,0.41782105,1.391724903,40,
PID_IFNG_PATHWAY,0.058181818,0.163389653,0.252961123,0.428259427,1.409413162,39,
PID_IGF1_PATHWAY,0.67896679,0.939229462,0.059860312,0.285166392,0.868398836,28,
PID_IL12_2PATHWAY,5.21E-05,6.47E-04,0.557332239,0.565445954,2.008357638,58,
PID_IL12_STAT4_PATHWAY,9.28E-05,0.001023095,0.538434096,0.669009294,2.055442841,29,
PID_IL1_PATHWAY,0.001755759,0.01083084,0.455059867,0.574620191,1.81634816,34,
PID_IL23_PATHWAY,4.02E-04,0.003280067,0.498493109,0.62061735,1.92600488,30,
PID_IL27_PATHWAY,0.005244873,0.026961927,0.407017919,0.628140329,1.790277017,22,
PID_IL2_1PATHWAY,0.025407412,0.090205452,0.352487858,0.441216425,1.552254821,52,
PID_IL2_PI3K_PATHWAY,0.60754717,0.878948761,0.066284219,0.287149068,0.896783115,32,
PID_IL2_STAT5_PATHWAY,0.011604888,0.049692081,0.380730401,0.552762444,1.683291846,28,
PID_IL3_PATHWAY,0.058270677,0.163389653,0.257206466,0.507879194,1.473380276,23,
PID_IL4_2PATHWAY,1.50E-08,7.03E-07,0.733761988,0.665541798,2.363879242,58,
PID_IL6_7_PATHWAY,2.78E-05,4.12E-04,0.575610261,0.619180737,2.096536793,44,
PID_IL8_CXCR1_PATHWAY,0.029842132,0.102148698,0.352487858,0.531188798,1.587685507,26,
PID_IL8_CXCR2_PATHWAY,0.005336181,0.027218657,0.407017919,0.555232794,1.734360783,33,
PID_ILK_PATHWAY,0.614310646,0.882455379,0.061976274,0.263962585,0.901002389,45,
PID_INSULIN_GLUCOSE_PATHWAY,0.217636023,0.429184324,0.126253988,0.410587259,1.206337933,24,
PID_INSULIN_PATHWAY,0.053956835,0.154587506,0.261663522,0.425905172,1.432274138,43,
PID_INTEGRIN1_PATHWAY,1.06E-07,3.47E-06,0.704975715,0.63094927,2.269277832,62,
PID_INTEGRIN2_PATHWAY,8.70E-04,0.006135486,0.477270815,0.658272598,1.909678271,23,
PID_INTEGRIN3_PATHWAY,3.40E-04,0.002866624,0.498493109,0.585640666,1.909122151,37,
PID_INTEGRIN5_PATHWAY,0.011906924,0.050546811,0.380730401,0.660866669,1.691068861,15,
PID_INTEGRIN_A4B1_PATHWAY,0.115311909,0.267166325,0.179782316,0.427025334,1.321183275,31,
PID_INTEGRIN_A9B1_PATHWAY,0.004229568,0.023000462,0.407017919,0.622483742,1.74865904,21,
PID_INTEGRIN_CS_PATHWAY,5.22E-04,0.004007028,0.477270815,0.651457083,1.94715885,26,
PID_KIT_PATHWAY,0.010074549,0.044690245,0.380730401,0.469072628,1.650256443,52,
PID_LIS1_PATHWAY,0.697826087,0.955276488,0.066436414,-0.274586836,-0.863468848,28,
PID_LKB1_PATHWAY,0.935334873,1,0.055364284,-0.203410616,-0.726113239,46,
PID_LPA4_PATHWAY,0.997916667,1,0.047638726,-0.161816232,-0.432627074,15,
PID_LYMPH_ANGIOGENESIS_PATHWAY,0.007192301,0.033803814,0.407017919,0.582015466,1.710007602,24,
PID_LYSOPHOSPHOLIPID_PATHWAY,0.04738017,0.141068559,0.321775918,0.401127623,1.451070253,64,
PID_MAPK_TRK_PATHWAY,0.962264151,1,0.044774889,0.203718178,0.643943849,34,
PID_MET_PATHWAY,0.709507042,0.967910782,0.05559471,0.231126061,0.870652633,79,
PID_MTOR_4PATHWAY,0.720142602,0.975424455,0.055479331,0.237868955,0.871756622,68,
PID_MYC_ACTIV_PATHWAY,0.013071366,0.053980911,0.380730401,0.417898389,1.566958763,77,
PID_MYC_PATHWAY,0.329566855,0.5839901,0.099233334,0.372262159,1.105025923,25,
PID_MYC_REPRESS_PATHWAY,1.55E-04,0.001544623,0.518848078,0.54328474,1.942665868,60,
PID_NCADHERIN_PATHWAY,0.441509434,0.710330219,0.082664645,0.327233504,1.021969123,32,
PID_NECTIN_PATHWAY,0.098298677,0.235773497,0.195789002,0.446822009,1.335519181,26,
PID_NEPHRIN_NEPH1_PATHWAY,1,1,0.049490487,-0.137196661,-0.437464837,29,
PID_NETRIN_PATHWAY,0.951271186,1,0.050600424,-0.202565771,-0.669179629,32,
PID_NFAT_3PATHWAY,0.964871194,1,0.054568065,-0.189046805,-0.687249971,53,
PID_NFAT_TFPATHWAY,0.061930783,0.169892649,0.245041785,0.435419282,1.429708536,38,
PID_NFKAPPAB_ATYPICAL_PATHWAY,0.001275783,0.008422727,0.455059867,0.723270781,1.880939562,16,
PID_NFKAPPAB_CANONICAL_PATHWAY,0.004959443,0.025830975,0.407017919,0.631918128,1.801044207,22,
PID_NOTCH_PATHWAY,0.035796811,0.115086164,0.321775918,0.422540356,1.492739663,56,
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,0.0856102,0.213646695,0.206587923,0.416746375,1.368395648,38,
PID_P38_ALPHA_BETA_PATHWAY,0.166975881,0.354823981,0.145516146,0.401021282,1.244517167,30,
PID_P38_MK2_PATHWAY,0.98960499,1,0.047925897,-0.174362112,-0.516267444,21,
PID_P38_MKK3_6PATHWAY,0.168241966,0.356340816,0.146416238,0.417843199,1.248903579,26,
PID_P53_DOWNSTREAM_PATHWAY,5.20E-10,3.67E-08,0.801215575,0.558268183,2.25843351,132,
PID_P53_REGULATION_PATHWAY,0.225749559,0.441654737,0.119348441,0.328562597,1.16073746,56,
PID_P73PATHWAY,0.021353993,0.078350896,0.352487858,0.406215644,1.523152951,77,
PID_P75_NTR_PATHWAY,0.99471831,1,0.040084563,0.176602574,0.638855883,64,
PID_PDGFRA_PATHWAY,0.170825336,0.359881764,0.146416238,0.451447295,1.268189578,21,
PID_PDGFRB_PATHWAY,0.006425747,0.031089275,0.407017919,0.374977637,1.51049493,128,
PID_PI3KCI_AKT_PATHWAY,0.751851852,0.988863334,0.055249566,0.255222285,0.819681404,35,
PID_PI3KCI_PATHWAY,9.81E-05,0.001055312,0.538434096,0.582887572,2.013546671,48,
PID_PI3K_PLC_TRK_PATHWAY,0.668151448,0.928170977,0.069779252,-0.26237779,-0.887648015,36,
PID_PLK1_PATHWAY,0.994584838,1,0.041237609,0.164401053,0.549395638,42,
PID_PRL_SIGNALING_EVENTS_PATHWAY,0.148496241,0.324979578,0.156312403,0.440503806,1.277921259,23,
PID_PS1_PATHWAY,0.60822898,0.878948761,0.063642408,0.268872969,0.910399886,44,
PID_PTP1B_PATHWAY,1.03E-05,1.76E-04,0.593325476,0.620229457,2.142541749,48,
PID_RAC1_PATHWAY,0.248251748,0.473477247,0.112378519,0.324068102,1.142797415,54,
PID_RAC1_REG_PATHWAY,0.537340619,0.810321148,0.070619625,0.288209114,0.946340797,38,
PID_RAS_PATHWAY,0.794816415,1,0.059860312,-0.25087679,-0.806350279,30,
PID_RB_1PATHWAY,0.173076923,0.362305245,0.138022242,0.337647776,1.214387036,62,
PID_REELIN_PATHWAY,0.293478261,0.539409764,0.115734448,-0.348931493,-1.097253892,28,
PID_REG_GR_PATHWAY,0.157243816,0.3392342,0.146416238,0.328359259,1.207555445,70,
PID_RETINOIC_ACID_PATHWAY,0.673469388,0.933824221,0.060509299,0.279118558,0.866207984,30,
PID_RET_PATHWAY,0.729090909,0.979064935,0.055826472,0.254471125,0.837471238,39,
PID_RHOA_PATHWAY,0.80866426,1,0.050702794,0.23635687,0.789857675,42,
PID_RHOA_REG_PATHWAY,0.307557118,0.552930556,0.099233334,0.313310957,1.073707184,46,
PID_RHODOPSIN_PATHWAY,0.27027027,0.507142123,0.118287526,-0.385508601,-1.14144947,21,
PID_RXR_VDR_PATHWAY,0.102079395,0.242776778,0.19189224,0.446156009,1.333528554,26,
PID_S1P_META_PATHWAY,0.287907869,0.531149658,0.108820127,0.406869716,1.14296384,21,
PID_S1P_S1P1_PATHWAY,0.030300361,0.10330382,0.352487858,0.538421538,1.512514508,21,
PID_S1P_S1P2_PATHWAY,0.375234522,0.637995647,0.091392433,0.367051685,1.078426962,24,
PID_S1P_S1P3_PATHWAY,0.002260835,0.013456716,0.431707696,0.584844478,1.796857542,29,
PID_SHP2_PATHWAY,0.008406177,0.038234547,0.380730401,0.47440714,1.669023927,52,
PID_SMAD2_3NUCLEAR_PATHWAY,6.38E-08,2.29E-06,0.704975715,0.600277966,2.250561175,80,
PID_SMAD2_3PATHWAY,0.266794626,0.502052041,0.113787262,0.447823996,1.164612053,16,
PID_SYNDECAN_1_PATHWAY,3.63E-04,0.003039366,0.498493109,0.569623697,1.928737389,44,
PID_SYNDECAN_2_PATHWAY,0.035228859,0.113630339,0.321775918,0.480229605,1.475442139,29,
PID_SYNDECAN_3_PATHWAY,0.49328215,0.766120349,0.077679856,0.378658929,0.984741232,16,
PID_SYNDECAN_4_PATHWAY,5.37E-04,0.004111692,0.477270815,0.613746117,1.904680905,30,
PID_TAP63_PATHWAY,0.029291781,0.101087369,0.352487858,0.436195934,1.534592104,52,
PID_TCPTP_PATHWAY,8.30E-04,0.00593438,0.477270815,0.573537054,1.911537788,41,
PID_TCR_CALCIUM_PATHWAY,0.275529865,0.514141656,0.111918316,0.405446954,1.155573573,22,
PID_TCR_PATHWAY,0.007048434,0.033446176,0.407017919,0.442547664,1.592351316,63,
PID_TELOMERASE_PATHWAY,0.054577465,0.15565491,0.257206466,0.385914345,1.396036559,64,
PID_TGFBR_PATHWAY,0.012621753,0.052453348,0.380730401,0.450025722,1.580848929,53,
PID_THROMBIN_PAR1_PATHWAY,0.331541219,0.585910802,0.095920678,0.319812636,1.065901382,41,
PID_TNF_PATHWAY,0.05061082,0.147982586,0.266350657,0.424109425,1.447643062,45,
PID_TOLL_ENDOGENOUS_PATHWAY,6.07E-05,7.45E-04,0.557332239,0.71789519,2.08264608,23,
PID_TRAIL_PATHWAY,0.046879137,0.140851471,0.321775918,0.497198669,1.514087062,28,
PID_TRKR_PATHWAY,0.956621005,1,0.053787281,-0.184382179,-0.685396953,60,
PID_TXA2PATHWAY,7.81E-05,9.07E-04,0.538434096,0.558853824,1.97074844,54,
PID_UPA_UPAR_PATHWAY,1.54E-04,0.001544623,0.518848078,0.623577614,2.002705113,35,
PID_VEGFR1_2_PATHWAY,0.008292831,0.037956539,0.380730401,0.442167235,1.620481389,68,
PID_VEGFR1_PATHWAY,0.031547347,0.106452072,0.321775918,0.52925846,1.581915862,26,
PID_WNT_CANONICAL_PATHWAY,0.982824427,1,0.044329345,0.200886372,0.548836352,19,
PID_WNT_NONCANONICAL_PATHWAY,0.186792453,0.382895433,0.138022242,0.388531901,1.213407556,32,
PID_WNT_SIGNALING_PATHWAY,0.245283019,0.469630145,0.118287526,0.392154174,1.180577731,27,
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,1,1,0.038478692,0.121680184,0.469822775,100,
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.69375,0.952354536,0.064648457,-0.294553304,-0.840326352,18,
REACTOME_ABC_TRANSPORTER_DISORDERS,0.998254799,1,0.039517223,0.153610161,0.574411456,76,
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.728813559,0.979064935,0.057487741,0.290711961,0.812701922,20,
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.338491296,0.593411917,0.099233334,0.414267054,1.098785124,17,
